2025-12-26 14:31:51,269 | ERROR | noon_report_worker | worker.py:115 | Worker loop error: 403 Your API key was reported as leaked. Please use another API key.
2025-12-26 14:31:56,190 | INFO | noon_report_worker | main.py:27 | Microservice shutdown complete.
2025-12-26 14:33:44,014 | INFO | noon_report_worker | logger_config.py:30 | *** Logging system initialized ***
2025-12-26 14:33:44,914 | INFO | noon_report_worker | worker.py:20 | Starting RabbitMQ Worker (Clean Refactored Mode)...
2025-12-26 14:33:44,921 | INFO | noon_report_worker | load_redis_config.py:47 | Configuration updated from Redis. (Re)initializing RabbitMQ...
2025-12-26 14:33:44,930 | INFO | noon_report_worker | worker.py:52 | Processing message (length: 1277)...
2025-12-26 14:33:44,952 | INFO | noon_report_worker | imo_loader.py:31 | Searching Vessel Name in DB: RIZHAO EXPRESS
2025-12-26 14:33:44,955 | INFO | noon_report_worker | imo_loader.py:47 | Matched IMO: 9238595, Vessel: RIZHAO EXPRESS
2025-12-26 14:33:44,981 | INFO | noon_report_worker | prompt_loader.py:30 | Searching tenant in DB: orion
2025-12-26 14:33:44,983 | INFO | noon_report_worker | prompt_loader.py:45 | Searching imo prompt in DB: 9238595
2025-12-26 14:33:45,803 | ERROR | noon_report_worker | worker.py:115 | Worker loop error: 403 Your API key was reported as leaked. Please use another API key.
2025-12-26 14:33:55,806 | INFO | noon_report_worker | load_redis_config.py:47 | Configuration updated from Redis. (Re)initializing RabbitMQ...
2025-12-26 14:33:55,819 | INFO | noon_report_worker | worker.py:52 | Processing message (length: 1277)...
2025-12-26 14:33:55,820 | INFO | noon_report_worker | imo_loader.py:31 | Searching Vessel Name in DB: RIZHAO EXPRESS
2025-12-26 14:33:55,821 | INFO | noon_report_worker | imo_loader.py:47 | Matched IMO: 9238595, Vessel: RIZHAO EXPRESS
2025-12-26 14:33:55,822 | INFO | noon_report_worker | prompt_loader.py:30 | Searching tenant in DB: orion
2025-12-26 14:33:55,822 | INFO | noon_report_worker | prompt_loader.py:45 | Searching imo prompt in DB: 9238595
2025-12-26 14:33:56,001 | ERROR | noon_report_worker | worker.py:115 | Worker loop error: 403 Your API key was reported as leaked. Please use another API key.
2025-12-26 14:34:06,005 | INFO | noon_report_worker | load_redis_config.py:47 | Configuration updated from Redis. (Re)initializing RabbitMQ...
2025-12-26 14:34:06,017 | INFO | noon_report_worker | worker.py:52 | Processing message (length: 1277)...
2025-12-26 14:34:06,017 | INFO | noon_report_worker | imo_loader.py:31 | Searching Vessel Name in DB: RIZHAO EXPRESS
2025-12-26 14:34:06,019 | INFO | noon_report_worker | imo_loader.py:47 | Matched IMO: 9238595, Vessel: RIZHAO EXPRESS
2025-12-26 14:34:06,019 | INFO | noon_report_worker | prompt_loader.py:30 | Searching tenant in DB: orion
2025-12-26 14:34:06,020 | INFO | noon_report_worker | prompt_loader.py:45 | Searching imo prompt in DB: 9238595
